time_ms,soma_mv,path100_mv,path200_mv,path300_mv,path400_mv,contact_mv
17.59,-83.9492359054,-84.9523718812,-85.1069842395,-85.1050703006,-85.1078937889,-85.1191717438
17.595,-83.9512748118,-84.9526304373,-85.1070030352,-85.1050842794,-85.1079113964,-85.1191926967
17.6,-83.9533120558,-84.9528888037,-85.1070218194,-85.1050982477,-85.1079289884,-85.1192136298
17.605,-83.9553476388,-84.9531469805,-85.1070405919,-85.1051122056,-85.1079465647,-85.1192345429
17.61,-83.9573815622,-84.9534049679,-85.1070593529,-85.1051261531,-85.1079641255,-85.1192554362
17.615,-83.9594138274,-84.9536627661,-85.1070781023,-85.1051400901,-85.1079816708,-85.1192763097
17.62,-83.9614444358,-84.953920375,-85.1070968402,-85.1051540168,-85.1079992006,-85.1192971634
17.625,-83.9634733886,-84.9541777951,-85.1071155665,-85.1051679331,-85.108016715,-85.1193179974
17.63,-83.9655006874,-84.9544350262,-85.1071342813,-85.105181839,-85.1080342138,-85.1193388116
17.635,-83.9675263335,-84.9546920687,-85.1071529846,-85.1051957346,-85.1080516973,-85.1193596062
17.64,-83.9695503281,-84.9549489226,-85.1071716764,-85.1052096199,-85.1080691654,-85.1193803811
17.645,-83.9715726729,-84.955205588,-85.1071903567,-85.1052234949,-85.108086618,-85.1194011364
17.65,-83.973593369,-84.9554620652,-85.1072090255,-85.1052373595,-85.1081040554,-85.1194218721
17.655,-83.9756124178,-84.9557183543,-85.1072276828,-85.1052512139,-85.1081214774,-85.1194425883
17.66,-83.9776298208,-84.9559744554,-85.1072463287,-85.105265058,-85.1081388842,-85.1194632849
17.665,-83.9796455794,-84.9562303686,-85.1072649631,-85.1052788919,-85.1081562757,-85.1194839621
17.67,-83.9816596947,-84.9564860941,-85.107283586,-85.1052927155,-85.1081736519,-85.1195046198
17.675,-83.9836721683,-84.956741632,-85.1073021976,-85.1053065289,-85.1081910129,-85.1195252582
17.68,-83.9856830016,-84.9569969825,-85.1073207977,-85.105320332,-85.1082083588,-85.1195458771
17.685,-83.9876921958,-84.9572521458,-85.1073393864,-85.105334125,-85.1082256894,-85.1195664767
17.69,-83.9896997523,-84.9575071219,-85.1073579638,-85.1053479078,-85.108243005,-85.119587057
17.695,-83.9917056725,-84.957761911,-85.1073765297,-85.1053616804,-85.1082603054,-85.1196076181
17.7,-83.9937099577,-84.9580165132,-85.1073950843,-85.1053754428,-85.1082775907,-85.1196281598
17.705,-83.9957126094,-84.9582709287,-85.1074136275,-85.1053891952,-85.108294861,-85.1196486824
17.71,-83.9977136288,-84.9585251577,-85.1074321594,-85.1054029374,-85.1083121162,-85.1196691858
17.715,-83.9997130173,-84.9587792002,-85.1074506799,-85.1054166694,-85.1083293564,-85.1196896701
17.72,-84.0017107764,-84.9590330564,-85.1074691891,-85.1054303914,-85.1083465816,-85.1197101352
17.725,-84.0037069072,-84.9592867265,-85.107487687,-85.1054441033,-85.1083637919,-85.1197305813
17.73,-84.0057014113,-84.9595402105,-85.1075061736,-85.1054578051,-85.1083809872,-85.1197510083
17.735,-84.0076942899,-84.9597935087,-85.1075246488,-85.1054714969,-85.1083981676,-85.1197714163
17.74,-84.0096855444,-84.9600466212,-85.1075431128,-85.1054851786,-85.1084153331,-85.1197918053
17.745,-84.0116751761,-84.9602995481,-85.1075615656,-85.1054988503,-85.1084324838,-85.1198121754
17.75,-84.0136631864,-84.9605522895,-85.107580007,-85.105512512,-85.1084496195,-85.1198325265
17.755,-84.0156495767,-84.9608048456,-85.1075984372,-85.1055261637,-85.1084667405,-85.1198528588
17.76,-84.0176343482,-84.9610572166,-85.1076168562,-85.1055398054,-85.1084838467,-85.1198731723
17.765,-84.0196175024,-84.9613094025,-85.107635264,-85.1055534371,-85.1085009381,-85.1198934669
17.77,-84.0215990406,-84.9615614036,-85.1076536605,-85.1055670589,-85.1085180148,-85.1199137427
